Deinflect Rules 20081220-0509 | by Jonathan Zarate | http://www.polarcloud.com
polite past negative
polite negative
polite volitional
-chau
-sugiru
-nasai
polite past
-tara
-tari
causative
potential or passive
-sou
-tai
polite
past
negative
passive
-ba
volitional
potential
passive or causative
-te
-zu
imperative
masu stem
adv
noun
imperative negative
progressive
preparatory
resultant
-te shimau
try
go
come
please do
no good
it's OK to
it was OK to
I don't mind if
I want you to
sorry for
thanks for
favor to me
favor to other
receive favor
りません	る	640	1
んじゃう	ぬ	514	3
んじゃう	ぶ	514	3
んじゃう	む	514	3
んである	ぬ	513	30
んである	ぶ	513	30
んである	む	513	30
んでいく	ぬ	514	33
んでいく	ぶ	514	33
んでいく	む	514	33
んでいる	ぬ	513	28
んでいる	ぶ	513	28
んでいる	む	513	28
んでおく	ぬ	514	29
んでおく	ぶ	514	29
んでおく	む	514	29
んでおる	ぬ	514	28
んでおる	ぶ	514	28
んでおる	む	514	28
んでくる	ぬ	520	34
んでくる	ぶ	520	34
んでくる	む	520	34
んでみる	ぬ	513	32
んでみる	ぶ	513	32
んでみる	む	513	32
んで来る	ぬ	520	34
んで来る	ぶ	520	34
んで来る	む	520	34
んで行く	ぬ	514	33
んで行く	ぶ	514	33
んで行く	む	514	33
いそう	う	640	11
いたい	う	516	12
いたら	く	640	7
いたり	く	640	8
いだら	ぐ	640	7
いだり	ぐ	640	8
いてく	く	514	33
いてる	く	513	28
いでく	ぐ	514	33
いでる	ぐ	513	28
います	う	640	13
かせる	く	513	9
かった	い	1152	14
かない	く	516	15
かれる	く	513	16
がせる	ぐ	513	9
がない	ぐ	516	15
がれる	ぐ	513	16
きそう	く	640	11
きそう	くる	2176	11
きたい	く	516	12
きたい	くる	2052	12
きたら	くる	2176	7
きたり	くる	2176	8
きてく	くる	2050	33
きてる	くる	2049	28
きます	く	640	13
きます	くる	2176	13
ぎそう	ぐ	640	11
ぎたい	ぐ	516	12
ぎます	ぐ	640	13
くてく	い	1026	33
くてる	い	1025	28
くない	い	1028	15
ければ	い	1152	17
こない	くる	2052	15
こよう	くる	2176	18
これる	くる	2049	19
させる	する	4097	9
させる	る	2305	9
さない	す	516	15
される	す	513	20
される	する	4097	16
しそう	す	640	11
しそう	する	4224	11
したい	す	516	12
したい	する	4100	12
したら	す	640	7
したら	する	4224	7
したり	す	640	8
したり	する	4224	8
してく	す	514	33
してく	する	4098	33
してる	す	513	28
してる	する	4097	28
しない	する	4100	15
します	す	640	13
します	する	4224	13
しよう	する	4224	18
すぎる	い	1025	4
すぎる	る	2305	4
たせる	つ	513	9
たない	つ	516	15
たれる	つ	513	16
ちそう	つ	640	11
ちたい	つ	516	12
ちます	つ	640	13
ちゃう	る	2306	3
ったら	う	640	7
ったら	つ	640	7
ったら	る	640	7
ったり	う	640	8
ったり	つ	640	8
ったり	る	640	8
ってく	う	514	33
ってく	く	514	33
ってく	つ	514	33
ってく	る	514	33
ってる	う	513	28
ってる	く	513	28
ってる	つ	513	28
ってる	る	513	28
てある	る	2305	30
ていく	る	2306	33
ている	る	2305	28
ておく	る	2306	29
ておる	る	2306	28
てくる	る	2312	34
てみる	る	2305	32
て来る	る	2312	34
て行く	る	2306	33
なさい	る	2432	5
